question,answer,agency
Adakah saya perlu membayar cukai atas keuntungan penjualan saham?,"Di Malaysia, keuntungan dari penjualan saham (capital gains) biasanya tidak dikenakan cukai untuk individu. Walau bagaimanapun, jika anda dianggap sebagai peniaga saham profesional atau kerap melakukan transaksi saham, keuntungan tersebut mungkin dianggap sebagai pendapatan perniagaan dan boleh dikenakan cukai. Jika anda tidak pasti, adalah baik untuk mendapatkan nasihat dari perunding cukai.",46
Bagaimanakah cara saya memohon pengurangan cukai untuk sumbangan amal?,"Untuk memohon pengurangan cukai atas sumbangan amal, pastikan anda menyumbang kepada organisasi yang diluluskan oleh LHDN. Simpan resit atau bukti sumbangan. Semasa mengisi borang cukai pendapatan tahunan anda, masukkan jumlah sumbangan di bahagian yang berkaitan. Sumbangan yang layak biasanya boleh ditolak sehingga 7% daripada pendapatan agregat anda.",46
Apakah dokumen yang diperlukan untuk memohon pinjaman perumahan kerajaan?,"Untuk memohon pinjaman perumahan kerajaan, anda biasanya perlu menyediakan dokumen berikut: borang permohonan yang lengkap, salinan kad pengenalan, slip gaji terkini, penyata KWSP, surat tawaran pekerjaan, perjanjian jual beli rumah, dan pelan rumah. Keperluan dokumen mungkin berbeza bergantung pada jenis pinjaman dan agensi yang menawarkannya. Semak dengan Bahagian Pinjaman Perumahan Perbendaharaan untuk senarai lengkap dokumen yang diperlukan.",46
Bagaimanakah cara saya membuat aduan tentang penipuan kewangan?,"Untuk membuat aduan tentang penipuan kewangan, anda boleh menghubungi Suruhanjaya Sekuriti Malaysia melalui talian aduan mereka di 03-6204 8999 atau menghantar aduan melalui laman web mereka. Untuk kes yang melibatkan bank atau institusi kewangan, anda boleh membuat aduan kepada Bank Negara Malaysia melalui BNMTELELINK di 1-300-88-5465. Pastikan anda mempunyai bukti dan maklumat terperinci mengenai penipuan tersebut semasa membuat aduan.",46
Apakah syarat-syarat untuk memohon skim Rumah Pertamaku?,"Syarat-syarat utama untuk Skim Rumah Pertamaku termasuk: warganegara Malaysia berumur 21-35 tahun, pendapatan bulanan tidak melebihi RM5,000 (individu) atau RM10,000 (pasangan), membeli rumah pertama dengan harga tidak melebihi RM500,000, dan rumah tersebut untuk didiami sendiri. Syarat-syarat ini mungkin berubah, jadi semak dengan bank yang mengambil bahagian atau laman web Kementerian Perumahan dan Kerajaan Tempatan untuk maklumat terkini.",46
Bagaimanakah cara saya menuntut wang tidak dituntut dari kerajaan?,"Untuk menuntut wang tidak dituntut, anda perlu menyemak status wang anda di laman web Pendaftar Wang Tak Dituntut di https://egumis.anm.gov.my. Jika anda menemui wang anda, isi borang permohonan UMA-7 dan hantar ke pejabat Pendaftar Wang Tak Dituntut bersama dengan dokumen sokongan seperti kad pengenalan dan bukti pemilikan. Proses ini mungkin mengambil masa beberapa bulan.",46
Adakah saya layak untuk pengecualian cukai sebagai OKU?,"Ya, individu OKU yang berdaftar dengan Jabatan Kebajikan Masyarakat layak untuk pengecualian cukai tambahan. Ini termasuk pengecualian peribadi tambahan sebanyak RM6,000 dan pengecualian untuk pembelian alat bantuan OKU. Untuk menuntut pengecualian ini, anda perlu menyertakan salinan kad OKU anda semasa menghantar borang cukai pendapatan tahunan.",46
Bagaimanakah cara saya menyemak status GST/SST syarikat saya?,"Untuk menyemak status GST/SST syarikat anda, layari portal MySST di https://mysst.customs.gov.my. Masukkan nombor pendaftaran syarikat atau nombor GST/SST anda untuk melihat status terkini. Jika anda menghadapi masalah, anda boleh menghubungi Pusat Panggilan Kastam di 03-7806 7200 untuk bantuan.",46
Apakah langkah-langkah untuk memohon lesen import/eksport?,"Untuk memohon lesen import/eksport, anda perlu mendaftar dengan sistem DagangNet dan memohon melalui portal ePermit. Langkah-langkahnya termasuk: 1) Daftar syarikat dengan Suruhanjaya Syarikat Malaysia, 2) Daftar dengan Kastam DiRaja Malaysia untuk nombor pengenalan GST/SST, 3) Mohon ID pengguna DagangNet, 4) Lengkapkan permohonan lesen melalui ePermit, 5) Bayar fi yang berkaitan. Proses ini mungkin berbeza bergantung pada jenis barang yang diimport/dieksport.",46
Bagaimana saya boleh mendapatkan kad vaksinasi COVID-19 saya?,"Anda boleh memuat turun kad vaksinasi digital anda melalui aplikasi MySejahtera. Jika anda memerlukan salinan fizikal, sila hubungi klinik kesihatan terdekat.",48
Di manakah saya boleh mendapatkan pemeriksaan kesihatan percuma?,Klinik kesihatan kerajaan menawarkan pemeriksaan kesihatan asas percuma. Sila hubungi klinik kesihatan terdekat anda untuk membuat temu janji.,48
Berapa lamakah masa menunggu biasa untuk mendapatkan temu janji dengan pakar di hospital kerajaan?,"Masa menunggu bergantung pada jenis kepakaran dan kesesakan hospital. Secara purata, ia boleh mengambil masa antara 1 hingga 3 bulan. Untuk kes-kes kecemasan, rawatan akan diberikan dengan segera.",48
Bolehkah saya menukar hospital untuk rawatan saya?,"Ya, anda boleh memohon untuk menukar hospital. Sila hubungi bahagian rekod perubatan hospital semasa anda untuk memulakan proses pemindahan.",48
Apakah yuran untuk melawat klinik kesihatan kerajaan?,Yuran rawatan asas di klinik kesihatan kerajaan adalah RM1 untuk warganegara dan RM15 untuk bukan warganegara. Yuran tambahan mungkin dikenakan untuk perkhidmatan tertentu.,48
Bagaimana saya boleh menyemak status permohonan lesen farmasi saya?,Anda boleh menyemak status permohonan lesen farmasi anda melalui portal dalam talian Pharmaceutical Services Programme atau menghubungi Bahagian Perkhidmatan Farmasi KKM.,48
Apakah langkah-langkah untuk melaporkan kesan sampingan ubat?,Anda boleh melaporkan kesan sampingan ubat melalui borang ADR dalam talian di laman web National Pharmaceutical Regulatory Agency (NPRA) atau melalui aplikasi mudah alih NPRA Product Status.,48
Bagaimana saya boleh mendaftar sebagai penderma organ?,Anda boleh mendaftar sebagai penderma organ melalui laman web rasmi National Transplant Resource Centre atau mengisi borang pendaftaran di mana-mana hospital kerajaan.,48
Apakah perkhidmatan kesihatan mental yang disediakan oleh kerajaan?,Kerajaan menyediakan perkhidmatan kaunseling dan rawatan psikiatri di hospital dan klinik kesihatan terpilih. Anda juga boleh menghubungi talian bantuan MENTARI di 03-2935 9935 untuk sokongan.,48
Bolehkah saya membuat aduan tentang perkhidmatan hospital?,"Ya, anda boleh membuat aduan melalui Sistem Pengurusan Aduan Awam (SPA) di laman web KKM atau menghubungi Unit Komunikasi Korporat hospital berkenaan.",48
Bagaimana saya boleh mendapatkan salinan rekod perubatan saya?,Anda perlu mengisi borang permohonan di hospital di mana anda menerima rawatan. Surat pengesahan identiti dan bayaran nominal mungkin diperlukan.,48
Apakah syarat-syarat untuk mendapatkan subsidi rawatan dialisis?,Pesakit perlu mendaftar dengan Pusat Dialisis Kerajaan dan memenuhi kriteria kelayakan pendapatan. Sila hubungi Unit Kerja Sosial Perubatan di hospital berdekatan untuk maklumat lanjut.,48
Di manakah saya boleh mendapatkan maklumat tentang wabak semasa?,Maklumat terkini tentang wabak boleh didapati di laman web rasmi KKM atau melalui saluran media sosial rasmi kementerian.,48
Bagaimana saya boleh menyemak kelayakan untuk insurans kesihatan kerajaan?,Anda boleh menyemak kelayakan untuk Skim Peduli Kesihatan untuk Kumpulan B40 (PeKa B40) di laman web rasmi skim tersebut atau di mana-mana klinik kesihatan kerajaan.,48
Apakah prosedur untuk membawa ubat preskripsi ke luar negara?,"Anda perlu mendapatkan surat pengesahan dari doktor yang merawat dan membawa preskripsi asal. Untuk ubat terkawal, kelulusan tambahan dari Bahagian Perkhidmatan Farmasi KKM diperlukan.",48
Bolehkah saya mendapatkan vaksin HPV percuma?,"Ya, vaksin HPV percuma disediakan untuk pelajar perempuan berumur 13 tahun di sekolah-sekolah terpilih. Untuk orang dewasa, sila semak dengan klinik kesihatan tempatan anda untuk ketersediaan dan kos.",48
Bagaimana saya boleh menyertai program berhenti merokok kerajaan?,Anda boleh mendaftar untuk program berhenti merokok di mana-mana klinik kesihatan kerajaan atau menghubungi talian bebas tol mQuit di 03-8883 4400 untuk bantuan.,48
Apakah perkhidmatan kesihatan yang tersedia untuk warga emas?,Warga emas menikmati yuran konsultasi yang lebih rendah di fasiliti kesihatan kerajaan dan mempunyai akses ke Klinik Warga Emas di hospital terpilih untuk penjagaan khusus.,48
Di manakah saya boleh mendapatkan maklumat tentang pemakanan sihat?,Maklumat tentang pemakanan sihat boleh didapati di laman web rasmi KKM atau melalui program pendidikan kesihatan di klinik-klinik kesihatan tempatan.,48
Bagaimana saya boleh menyemak status lesen pengamal perubatan saya?,Anda boleh menyemak status lesen pengamal perubatan anda melalui portal dalam talian Malaysian Medical Council atau menghubungi terus pejabat MMC.,48
